,Date,Observer,Location,Transect,StandardizedLocationName,LocalSurveyName,names,START.newspotnames,END.newspotnames,cmc_comments,answers,Start.Time..24h.,Start.LAT,Start.LON,Start.Cloud,Start.Wind,End.Time..24h.,End.LAT,End.LON,End.Cloud,End.Wind,Notes,Species.before,Species.After
56,5/29/2013,JDR,HACKBERRY ,D,NA,NA,56,HACK-D start (JDR),HACK-D end (JDR),,confirmed,7:06,34.29412,-98.94082,100,10 to 15,8:19,34.2941,-98.92334,95,10 to 15,,,
57,5/29/2013,JDR,HACKBERRY ,I,NA,NA,57,HACK-I start (JDR),HACK-I end (JDR),G-end and I-end are very close to each other so can be I-end probably?,"No, these are separate ending points. The transects arrive from different directions, so they should be mostly independent.",8:27,34.28914,-98.92336,95,15 to 20,9:11,34.28924,-98.94057,90,15 to 20,,,
58,5/25/2013,JDR,Kessler Atmospheric and Ecological Field Station,KAEF-A,NA,NA,58,KAEF-A1,KAEF-A2,same as 85 but NOT same as 6 or 100.,Double observer. Use JDR's data.,7:04,34.98164,-97.5276,30%,0-5,7:47,34.98365,-97.53217,30%,0-5,"BEKI, BGGN, PABU",Double-observer survey (with JGK).  Crossed fence at 7:23,YBCH
59,5/25/2013,JDR,Kessler Atmospheric and Ecological Field Station,KAEF-B,NA,NA,59,KAEF-B1,KAEF-B2,not same as 7/101.,confirmed,10:28,34.97761,-97.51875,85%,5 to 10,11:02,34.97704,-97.52309,100%,10 to 15,,Multiple observers conversing,
60,5/25/2013,JDR,Kessler Atmospheric and Ecological Field Station,KAEF-D,NA,NA,60,KAEF-D1,KAEF-D2,"start same as 86, end off.",Double observer. Use JDR's data.,8:21,34.98067,-97.53633,50%,0-5,9:05,34.98606,-97.53477,100%,5-10 (gusty),"RSHA, TUVU",Double-observer survey (with JGK),
61,5/4/2014,JDR,Noble - Red River Farm,A,NA,NA,61,REDR-A1a,REDR-A2a,"same as 146, 38, 39",Some variation around ending point for observers who did this transect.,10:40,33.8861,-97.29116,0,10 to 15,11:36,33.88589,-97.27821,0,10 to 15,,EAME,CASP singing
62,6/6/2013,JDR,Optima NWR,OPTM-B,NA,NA,62,OPTM-B1,OPTM-B2,,,17:40,36.64761,-101.21771,5%,0-5 E,19:40,36.6659,-101.17803,2%,5-10 ESE,,,
63,6/1/2013,JDR,Oswalt Road Ranch,A,NA,NA,63,OSWT-A1,OSWT-A2,same as 18,confirmed,13:11,33.98796,-97.22184,90%,10-15 NE,14:52,33.98769,-97.24757,20%,10-15 NE,,"REVI, CARW, Hummingbird, EAPH, AMCR, GRSP, MIKI, TUVU",
64,6/7/2013,JDR,Packsaddle WMA,PACK-C,NA,NA,64,PACK-C1,PACK-C2,,,8:40,35.88306,-99.68923,10%,0-5 SSE,9:20,35.87497,-99.68903,10%,5-10 S,,,
65,6/7/2013,JDR,Packsaddle WMA,PACK-D,NA,NA,65,PACK-D1,PACK-D2,,"C & D transects pretty much parallel, and are separated by less than 250m. Could account for detectibility overlap or ignore one transect.",9:34,35.87677,-99.6851,10%,5-10 S,9:58,35.88431,-99.68634,5%,0-5 S,,,
66,6/30/2013,JDR,Rita Blanca,C,NA,NA,66,RBNG-C1,RBNG-C2,,,6:56,36.50503,-102.64326,5,5-10 E,8:25,36.50489,-102.67891,2,5-10 ESE (incr),Cool temp,CHRA (outside of transect),
67,6/30/2013,JDR,Rita Blanca,D,NA,NA,67,RBNG-D1,RBNG-D2,,,8:41,36.51222,-102.67895,2,10-15 SSE,9:39,36.51223,-102.65238,5,15-20 ESE,,,
68,6/5/2013,JDR,Rita Blanca National Grassland,RBNG-C,NA,NA,68,RBNG-C1,RBNG-C2,,,9:18,36.50487,-102.64323,70%,15-20 N,10:56,36.50482,-102.67889,100%,15-20 NNE,,,
69,6/5/2013,JDR,Rita Blanca National Grassland,RBNG-D,NA,NA,69,RBNG-D1,RBNG-D2,,,11:10,36.51222,-102.67892,100%,15-20NNE,12:17,36.5127,-102.65237,100%,10-15 NE,,,
70,4/23/2014,JDR,Tallgrass Prairie,A,NA,NA,70,TGPP-A1,TGPP-A2,,,7:09,36.80202,-96.42134,10,0 to 5,9:13,36.7834,-96.42085,10,5 to 10,Battery change at ~7:43,,
71,4/23/2014,JDR,Tallgrass Prairie,B,NA,NA,71,TGPP-B2,TGPP-B1,,,9:38,36.78554,-96.41161,20,10 to 15,11:02,36.77092,-96.41248,10,15 to 20,,,"BEVI, DOWO, WCSP, CCSP"
72,6/24/2013,JDR,Wichita Mountains Wildlife Refuge,WMWR-B,NA,NA,72,WMWR-B start (JBT),WMWR-B end (JBT),,,7:10,34.68984,-98.70986,30%,5-10 S,8:35,34.68972,-98.73701,30%,5-10 S,,,"TUVU (perched), BGGN, PABU (S), AMCR TUTI"
76,5/7/2014,JDR,WMWR,B,NA,NA,76,WMWR-B start (JBT),WMWR-B end (JBT),,,7:16,34.68998,-98.70993,0,0 to 5,9:40,34.68992,-98.73688,0,5 to 10,,CHSP,
74,5/27/2013,JDR,WMWR,D01,NA,NA,74,WMWR-D end (JGK),WMWR-D end (JDR),,,6:39,34.74358,-98.58608,35,15-20 S,8:13,34.72474,-98.58595,100,15-20,had to enter metadata from datasheet 09/28/2016 cmc,,
75,5/27/2013,JDR,WMWR,D02,NA,NA,75,WMWR-H end (JGK),WMWR-H end (JDR),,,8:29,34.72472,-98.59237,100,15-20 S,8:13,34.74212,-98.59216,85,20-25 S,had to enter metadata from datasheet 09/28/2016 cmc,,
77,6/7/2014,Jessica,Grimes switchgrass,C,NA,NA,77,GRSG-C1,GRSG-C2,same as 17,confirmed,9:12,34.79736,-97.48903,70,5 to 10,9:55,34.80804,-97.48894,20,0 to 5,,,
78,5/9/2014,Jessica,Hackberry Flat,B,NA,NA,78,HACK-B start (MDF),HACK-B end (MDF),,,7:55,34.2936,-98.97556,10,5 to 10,8:43,34.29286,-98.96438,0,5 to 10,7:57-8:04 break,,
79,5/9/2014,Jessica,Hackberry Flat,C,NA,NA,79,HACK-C start (MAB),HACK-C end (MAB),,,9:08,34.28337,-98.96507,10,5 to 10,10:05,34.26899,-98.96511,10,5 to 10,,,
,6/4/2014,Jessica,Tallgrass Prairie,A,NA,NA,,TGPP-A1,TGPP-A2,,,6:47,36.80201,-96.42131,60.00%,10 to 15,8:45,36.7834,-96.42085,,,"Cmc 12/9/2016 end gps and time not given, added time from last sighting and gps a2 from basecamp file.",,
81,6/4/2014,Jessica,Tallgrass Prairie,B,NA,NA,81,TGPP-B1,TGPP-B2,"81start is way off from other tgpp points, and no end point.","Likely a typo for latitude. She might have finished the transect in the 1h she walked. Let's consider this data as good for now, but flag it if it jumps out too much during analysis. Was there any vegetation data on the original sheets that indicated she reached the end?",9:57,36.76976,-96.41192,40,5 to 10,10:56,36.78554,-96.41161,30,5 to 10,,,
80,4/21/2014,Jessica,Tallgrass Prairie,I,NA,NA,80,TGPP-I0,TGPP-I2,both start and end shifted east of I points.,"She did transect as originally prescribed, which hadn't been done in 2013. Data should be fine.",7:36,36.84414,-96.42822,50,0 to 5,9:46,36.84446,-96.46616,10,10 to 15,,,
82,6/4/2013,JGK,Drummond Flats WMA,DRMD-A,NA,NA,82,DRMD-A1,DRMD-A2,,,7:35,36.30047,-98.04198,100%,10 to 15,8:35,36.301,-98.05146,100%,10 to 15,GPS died at 8:35,,"GREG, BNST, CAGO, BWTE, MALL, AMAV, BHCO, KILL, COGR"
83,5/29/2013,JGK,Hackberry Flats WMA,HACK-E,NA,NA,83,HACK-E start (JGK),HACK-E end (JGK),,,7:06,34.29079,-98.94503,100%,5 to 10,8:14,34.30506,-98.945,100%,5 to 10,,,
84,5/29/2013,JGK,Hackberry Flats WMA,HACK-J,NA,NA,84,HACK-J start (JGK),HACK-J end (JGK),,,8:27,34.30516,-98.95175,95%,5 to 10,8:52,34.31229,-98.95168,100%,10 to 15,,,"BUOR, NOMO, GBHE"
85,5/25/2013,JGK,Kessler Atmospheric and Ecological Field Station,KAEF-A,NA,NA,85,KAEF-A1,KAEF-A2,same as 58 but NOT same as 6 or 100.,Double observer. Use JDR's data.,7:04,34.98164,-97.5276,30%,0-5,7:47,34.98365,-97.53217,30%,0-5,Double-observer survey (with JDR),,
86,5/25/2013,JGK,Kessler Atmospheric and Ecological Field Station,KAEF-D,NA,NA,86,KAEF-D1,KAEF-D2,"start same as 60, end off.",Double observer. Use JDR's data. Typo in longitude?,8:21,34.98067,-97.53633,50%,0-5,9:05,34.98606,-97.53477,100%,5-10 (gusty),Double-observer survey (with JDR),,
87,6/1/2013,JGK,Noble Foundation - Coffey Ranch,COFF-A,NA,NA,87,COFF-A1,COFF-A2,cloud of points near here.,confirmed,12:44,33.93786,-97.21886,90%,0-5,14:23,33.93769,-97.24336,60%,5 to 10,,,"EABL, EUST"
88,6/7/2013,JGK,Tallgrass Prairie Preserve,TGPP-E,NA,NA,88,TGPP-E1,TGPP-E2,,,9:23,36.80749,-96.46574,0%,0-5,10:20,36.80724,-96.44801,0%,0-5,,,FISP
89,6/7/2013,JGK,Tallgrass Prairie Preserve,TGPP-F,NA,NA,89,TGPP-F1,TGPP-F2,,,6:26,36.81426,-96.43803,0%,0-5,8:58,36.8148,-96.47475,0%,0-5,,,
90,5/27/2013,JGK,Wichita Mountains Wildlife Refuge,WMWR-C,NA,NA,90,WMWR-C start (JGK),WMWR-C end (JGK),,,6:32,34.68919,-98.7052,10%,0-5,7:48,34.70447,-98.70435,70%,10 to 15,,,
91,6/24/2013,JGK,Wichita Mountains Wildlife Refuge,WMWR-D,NA,NA,91,WMWR-D end (JDR),WMWR-D end (JGK),,,8:43,34.72474,-98.58597,60%,10-15 N,9:39,34.74276,-98.58656,40%,10-15 gusty,,,
92,6/24/2013,JGK,Wichita Mountains Wildlife Refuge,WMWR-H,NA,NA,92,WMWR-H end (JDR),WMWR-H end (JGK),,,7:16,34.74181,-98.59221,55%,5-10 N,8:27,34.72474,-98.59232,45%,10-15 N,,,
93,5/16/2014,Josh,Cimmaron Bluffs,C,NA,NA,93,CIMB-C2,CIMB-C1,"End point way too far west, error?  Double observer?",Appears to have been a typo. Other observer in pair (Kristen) had more accurate endpoint.,10:35,36.81493,-99.34182,30,10 to 15,11:45,36.81494,-99.34183,30,10 to 15,,,
94,5/16/2014,Josh,Cimmaron Bluffs,F,NA,NA,94,CIMB-F2,CIMB-F1,double observer?,"Yes, use data from Josh",7:51,36.84125,-99.33715,40,0 to 5,10:10,36.81688,-99.3371,50,5 to 10,,,
95,5/1/2014,Josh,Drummond Flats,E,NA,NA,95,DRMD-E1,DRMD-E2,,,8:29,36.30376,-98.05978,0,10 to 15,9:44,36.32546,-98.05982,0,15 to 20,,,
96,5/1/2014,Josh,Drummond Flats,F,NA,NA,96,DRMD-F1,DRMD-F2,,,10:02,36.32738,-98.06699,0,15 to 20,11:07,36.30404,-98.06857,0,15 to 20,,,
97,4/17/2014,Josh,Grady Co WMA,B,NA,NA,97,GRDY_B1,GRDY_B2,,,10:12,34.77597,-97.85558,80,5 to 10,11:10,34.77058,-97.86622,100,0 to 5,,"EAME, KILL, NOMO, EAPH, NOCA","WITU, BCHU, CCSP, LASP, TUTI, CACH"
98,5/9/2014,Josh,Hackberry Flat,D,NA,NA,98,HACK-D start (JDR),HACK-D end (JDR),,,7:38,34.29411,-98.94082,0,5 to 10,8:32,34.29408,-98.92338,0,5 to 10,,,
99,5/9/2014,Josh,Hackberry Flat,I,NA,NA,99,HACK-I start (JDR),HACK-I end (JDR),G-end and I-end are very close to each other so can be G-end probably?,"No, these are separate ending points. The transects arrive from different directions, so they should be mostly independent.",8:45,34.2891,-98.92342,0,5 to 10,9:30,34.28924,-98.94057,0,10 to 15,,,
100,4/9/2014,Josh,Kessler,A,NA,NA,100,KAEF-F1,KAEF-F2,no named points nearby.  End is WAY off.  Otherwise same as 6.,Double observer. Use Josh's data.,8:16,34.98574,-97.52456,0,0 to 5,9:18,34.97906,-97.5227,0,5 to 10,,,
101,4/9/2014,Josh,Kessler,B,NA,NA,101,KAEF-E1,KAEF-E2b,no named points nearby. Same as 101.,"Likely typo in latitude (Josh's 4s and 9s seem to get crossed).  Double observer, use Josh's data.",9:39,34.97747,-97.51711,0,0 to 5,10:33,34.98419,-97.51999,0,10 to 15,,,
102,6/2/2014,Josh,Optima,C,NA,NA,102,OPTM-C2,OPTM-C1,"halfway to C1.  Error, or end early?","No other instances of C transect, so just consider it the new ending point.",7:19,36.65612,-101.1661,40,15 to 20,8:32,36.64651,-101.19019,100,10 to 15,Had to walk around private land in 2nd 3rd of transect,,
