Possible Observer,Possible Location,Possible transect,Possible Cloud,Possible Wind,Possible Species,Common name,Breeding Code,Breeding Code explainers,Possible Locations Along Transect,Possible Habitat Types
,Black Mesa SP,,,,CARW,Carolina Wren,,,,
,Beaver WMA,,,,CASP,Cassin's Sparrow,,,,
,Selman Ranch,,,,CHRA,Chihuahuan Raven,,,,
,Salt Plains NWR,,,,CLSW,Cliff Swallow,,,,
,Osage WMA,,,,COGR,Common Grackle,,,,
,Chickasaw NRA,,,,CONI,Common Nighthawk,,,,
,Sod Farms (also labeled as Canadian R PCs),,,,DICK,Dickcissel,,,,
,Grady Co WMA,,,,DOWO,Downy Woodpecker,,,,
,Caddo Co Center Pivots,,,,EABL,Eastern Bluebird,,,,
,Alesen Rd.,,,,EAKI,Eastern Kingbird,,,,
,Schultz WMA,,,,EAME,Eastern Meadowlark,,,,
,Tallgrass Prairie West,,,,EAPH,Eastern Phoebe,,,,
,,,,,Empidonax sp.,,,,,
,,,,,EUST,European Starling,,,,
,,,,,FICR,Fish Crow,,,,
,,,,,FISP,Field Sparrow,,,,
,,,,,GBHE,Great Blue Heron,,,,
,,,,,GCFL,Great Crested Flycatcher,,,,
,,,,,GRHE,Green Heron,,,,
,,,,,GRSP,Grasshopper Sparrow,,,,
,,,,,GTGR,Great-tailed Grackle,,,,
,,,,,hawk sp.,,,,,
,,,,,HAWO,Hairy Woodpecker,,,,
,,,,,HOFI,House Finch,,,,
,,,,,HOLA,Horned Lark,,,,
,,,,,HOSP,House Sparrow,,,,
,,,,,INBU,Indigo Bunting,,,,
,,,,,KILL,Killdeer,,,,
,,,,,LABU,Lark Bunting,,,,
,,,,,LASP,Lark Sparrow,,,,
,,,,,LBCU,Long-Billed Curlew,,,,
,,,,,LBHE,Little Blue Heron,,,,
,,,,,LETE,Least Tern,,,,
,,,,,LOSH,Loggerhead Shrike,,,,
,,,,,MALL,Mallard,,,,
,,,,,MIKI,Mississippi Kite,,,,
,,,,,MODO,Mourning Dove,,,,
,,,,,NOBO,Northern Bobwhite,,,,
,,,,,NOCA,Northern Cardinal,,,,
,,,,,NOHA,Northern Harrier,,,,
,,,,,NOMO,Northern Mockingbird,,,,
,,,,,OROR,Orchard Oriole,,,,
,,,,,PABU,Painted Bunting,,,,
,,,,,RBWO,Red-bellied Woodpecker,,,,
,,,,,REVI,Red-eyed Vireo,,,,
,,,,,RHWO,Red-Headed Woodpecker,,,,
,,,,,RNPH,Red-necked Pharalope,,,,
,,,,,RSHA,Red-shouldered Hawk,,,,
,,,,,RTHA,Red-tailed Hawk,,,,
,,,,,RWBL,Red-winged Blackbird,,,,
,,,,,SAVS,Savannah Sparrow,,,,
,,,,,sparrow sp.,,,,,
,,,,,STFL,Scissor-tailed Flycatcher,,,,
,,,,,SUTA,Summer Tanager,,,,
,,,,,swallow sp.,,,,,
,,,,,SWHA,Swainson's Hawk,,,,
,,,,,TUTI,Tufted Titmouse,,,,
,,,,,TUVU,Turkey Vulture,,,,
,,,,,unID,unidentified bird,,,,
,,,,,UPSA,Upland Sandpiper,,,,
,,,,,VESP,Vesper Sparrow,,,,
,,,,,WAVI,Warbling Vireo,,,,
,,,,,WEKI,Western Kingbird,,,,
,,,,,WEME,Western Meadowlark,,,,
,,,,,WITU,Wild Turkey,,,,
,,,,,YBCU,Yellow-billed Cuckoo,,,,
,,,,,YSFL,Yellow-shafted Flicker,,,,
,,,,,WBNU,White-breasted Nuthatch,,,,
,,,,,YRWA,Yellow-rumped Warbler,,,,
,,,,,YEWA,Yellow Warbler,,,,
,,,,,SPTO,Spotted Towhee,,,,
,,,,,CEDW,Cedar Waxwing,,,,
,,,,,WEVI,White-eyed Vireo,,,,
,,,,,BLVU,Black Vulture,,,,
,,,,,hummingbird sp.,,,,,
,,,,,WCSP,White-crowned Sparrow,,,,
,,,,,COHA,Cooper's Hawk,,,,
,,,,,BAWW,Black-and-White Warbler,,,,
,,,,,HASP,Harris's Sparrow,,,,
,,,,,CHSP,Chipping Sparrow,,,,
,,,,,CCSP,Clay-colored Sparrow,,,,
,,,,,NOFL,Northern Flicker,,,,
,,,,,ECDO,Eurasian Collared-dove,(ECDO doesn't conform to usual AOU code format),,,
,,,,,NOPA,Northern Parula,,,,
,,,,,BRBL,Brewer's Blackbird,,,,
,,,,,RODO,Rock Dove,,,,
,,,,,blackbird sp.,,,,,
,,,,,meadowlark sp.,,,,,
,,,,,YHBL,Yellow-headed Blackbird,,,,
,,,,,AMPI,American Pipit,,,,
,,,,,AWPE,American White Pelican,,,,
,,,,,LISP,Lincoln's Sparrow,,,,
,,,,,COYE,Common Yellowthroat,,,,
,,,,,FRGU,Franklin's Gull,,,,
,,,,,PIWO,Pileated Woodpecker,,,,
,,,,,GRYE,Greater Yellowlegs,,,,
,,,,,SWSP,Swamp Sparrow,,,,
,,,,,MYWA,Myrtle Warbler,,,,
,,,,,warbler sp.,,,,,
,,,,,SAPH,Say's Phoebe,,,,
,,,,,GRRO,Greater Roadrunner,,,,
,,,,,BWTE,Blue-winged Teal,,,,
,,,,,shorebird sp.,,,,,
,,,,,GREG,Great Egret,,,,
,,,,,SSHA,Sharp-shinned Hawk,,,,
,,,,,BASA,Baird's Sandpiper,,,,
,,,,,BCVI,Black-capped Vireo,,,,
,,,,,GADW,Gadwall,,,,
,,,,,LBWO,Ladder-backed Woodpecker,,,,
,,,,,GHOW,Great Horned Owl,,,,
,,,,,PUMA,Purple Martin,,,,
,,,,,NRWS,Northern Rough-winged Swallow,,,,
,,,,,SCQU,Scaled Quail,,,,
,,,,,woodpecker sp.,,,,,
,,,,,BEKI,Belted Kingfisher,,,,
,,,,,raven sp.,,,,,
,,,,,CANW,Canyon Wren,,,,
,,,,,titmouse sp.,,,,,
,,,,,ROPI,Rock Pigeon,,,,
,,,,,crow sp.,,,,,
,,,,,WODU,wood duck,,,,
,,,,,falcon sp.,,,,,
,,,,,SNEG,Snowy Egret,,,,
,,,,,dove sp.,,,,,
,,,,,oriole sp.,,,,,
,,,,,EAWP,Eastern Wood Peewee,,,,
,,,,,BWHA,Broad-winged Hawk,,,,
